emotion,autonomous,motivation,time_management,concentration,reading,memorize,test_management,taking_note,focus,average-score
59,81,75,59,81,75,59,81,75,64,4
56,68,74,56,68,74,56,68,74,52,4
100,97,98,100,97,98,100,97,98,20,6.68
65,79,83,65,79,83,65,79,83,42,1.82
68,68,70,68,68,70,68,68,70,51,4.21
73,78,78,73,78,78,73,78,78,39,3.59
79,88,81,79,88,81,79,88,81,33,1.49
72,61,66,72,61,66,72,61,66,42,3
56,69,68,56,69,68,56,69,68,77,4
50,65,65,50,65,65,50,65,65,57,2.58
67,69,67,67,69,67,67,69,67,39,5.69
84,73,74,84,73,74,84,73,74,34,4.25
54,72,72,54,72,72,54,72,72,60,1.59
62,65,77,62,65,77,62,65,77,46,1.5
67,80,84,67,80,84,67,80,84,36,5.93
59,63,63,59,63,63,59,63,63,64,5.89
78,78,78,78,78,78,78,78,78,31,4.4
82,76,69,82,76,69,82,76,69,43,4
77,80,86,77,80,86,77,80,86,37,1.8
99,98,94,99,98,94,99,98,94,21,5.01
72,77,78,72,77,78,72,77,78,41,4
86,83,87,86,83,87,86,83,87,31,4.38
77,86,82,77,86,82,77,86,82,33,1.94
55,77,66,55,77,66,55,77,66,56,3.87
71,72,74,71,72,74,71,72,74,52,3.92
52,65,73,52,65,73,52,65,73,60,4.88
58,63,56,58,63,56,58,63,56,59,6
62,69,68,62,69,68,62,69,68,51,4
59,57,82,59,57,82,59,57,82,43,3.07
75,75,69,75,75,69,75,75,69,52,5
68,82,82,68,82,82,68,82,82,33,5.76
79,88,83,79,88,83,79,88,83,33,3.4
83,81,78,83,81,78,83,81,78,34,4
89,92,94,89,92,94,89,92,94,25,2.6
65,67,79,65,67,79,65,67,79,45,6.23
65,67,74,65,67,74,65,67,74,48,1.6
86,88,91,86,88,91,86,88,91,22,5
51,59,65,51,59,65,51,59,65,57,3.88
90,82,87,90,82,87,90,82,87,33,5.23
58,72,71,58,72,71,58,72,71,56,4.04
69,67,76,69,67,76,69,67,76,39,3.98
74,68,78,74,68,78,74,68,78,39,5.38
68,82,79,68,82,79,68,82,79,49,2.25
58,72,72,58,72,72,58,72,72,41,2.63
53,68,75,53,68,75,53,68,75,66,2.82
71,68,70,71,68,70,71,68,70,43,2.88
60,69,69,60,69,69,60,69,69,53,3.53
73,84,78,73,84,78,73,84,78,40,2.85
80,71,84,80,71,84,80,71,84,36,2.5
76,77,76,76,77,76,76,77,76,35,3.47
48,55,55,48,55,55,48,55,55,63,1.8
49,58,51,49,58,51,49,58,51,64,2.63
55,67,72,55,67,72,55,67,72,47,5.25
76,89,79,76,89,79,76,89,79,39,4.5
100,100,90,100,100,90,100,100,90,20,6.75
66,74,77,66,74,77,66,74,77,55,2.66
73,84,79,73,84,79,73,84,79,42,2
61,68,73,61,68,73,61,68,73,45,1.5
88,82,79,88,82,79,88,82,79,37,7.5
55,77,71,55,77,71,55,77,71,59,4.14
74,78,77,74,78,77,74,78,77,43,1
89,89,92,89,89,92,89,89,92,26,1.75
80,75,77,80,75,77,80,75,77,47,4.65
78,80,80,78,80,80,78,80,80,53,2.08
80,68,74,80,68,74,80,68,74,32,4.05
60,73,71,60,73,71,60,73,71,51,3.39
66,68,60,66,68,60,66,68,60,52,3.36
62,63,62,62,63,62,62,63,62,56,3.25
75,69,74,75,69,74,75,69,74,49,4.9
55,65,63,55,65,63,55,65,63,55,2.5
72,73,73,72,73,73,72,73,73,36,4.75
87,88,86,87,88,86,87,88,86,24,4.53
70,72,72,70,72,72,70,72,72,44,3.56
90,81,87,90,81,87,90,81,87,28,4.53
78,79,82,78,79,82,78,79,82,49,4.8
68,83,65,68,83,65,68,83,65,40,5.87
68,82,67,68,82,67,68,82,67,49,2.29
75,84,88,75,84,88,75,84,88,41,1.63
66,67,67,66,67,67,66,67,67,50,4.25
70,69,76,70,69,76,70,69,76,43,4
87,97,94,87,97,94,87,97,94,32,2.33
80,85,75,80,85,75,80,85,75,35,4.08
81,87,86,81,87,86,81,87,86,27,5.25
63,75,75,63,75,75,63,75,75,56,1
66,64,57,66,64,57,66,64,57,43,3.5
90,93,93,90,93,93,90,93,93,28,1.13
72,71,66,72,71,66,72,71,66,53,5.66
71,75,80,71,75,80,71,75,80,56,4
81,80,80,81,80,80,81,80,80,36,3.25
66,78,80,66,78,80,66,78,80,52,5.03
61,73,73,61,73,73,61,73,73,44,3
92,79,74,92,79,74,92,79,74,24,7.22
65,82,78,65,82,78,65,82,78,49,2.9
73,68,70,73,68,70,73,68,70,51,4.86
75,75,73,75,75,73,75,75,73,35,3.1
73,86,90,73,86,90,73,86,90,36,1
75,79,82,75,79,82,75,79,82,34,2.56
87,82,77,87,82,77,87,82,77,30,1.75
80,88,85,80,88,85,80,88,85,36,3.48
60,64,70,60,64,70,60,64,70,50,5
65,77,83,65,77,83,65,77,83,55,3.25
52,46,51,52,46,51,52,46,51,63,3.75
87,80,91,87,80,91,87,80,91,29,2.53
73,66,77,73,66,77,73,66,77,44,3.53
89,85,87,89,85,87,89,85,87,24,2.13
70,76,74,70,76,74,70,76,74,45,4.06
66,62,65,66,62,65,66,62,65,39,6.35
53,54,64,53,54,64,53,54,64,54,5.63
56,78,83,56,78,83,56,78,83,49,2.51
70,75,67,70,75,67,70,75,67,51,5.38
59,54,70,59,54,70,59,54,70,44,5
55,76,77,55,76,77,55,76,77,36,2
71,65,64,71,65,64,71,65,64,46,3.29
81,76,77,81,76,77,81,76,77,45,7.25
63,87,88,63,87,88,63,87,88,39,3
74,82,82,74,82,82,74,82,82,28,2.57
77,77,74,77,77,74,77,77,74,44,4
91,88,96,91,88,96,91,88,96,24,5
60,75,63,60,75,63,60,75,63,53,1
74,75,76,74,75,76,74,75,76,41,7
74,74,78,74,74,78,74,74,78,47,3.33
72,79,84,72,79,84,72,79,84,38,1
76,70,86,76,70,86,76,70,86,40,2.5
56,66,64,56,66,64,56,66,64,58,5
60,79,84,60,79,84,60,79,84,61,1.8
75,74,71,75,74,71,75,74,71,48,2
67,76,78,67,76,78,67,76,78,51,1.75
57,70,63,57,70,63,57,70,63,49,4.63
63,72,73,63,72,73,63,72,73,59,4.06
58,66,73,58,66,73,58,66,73,56,5.32
74,80,85,74,80,85,74,80,85,30,1.5
71,73,84,71,73,84,71,73,84,54,2.8
49,68,81,49,68,81,49,68,81,62,3.54
59,68,74,59,68,74,59,68,74,58,3.96
81,88,84,81,88,84,81,88,84,36,3.4
75,77,75,75,77,75,75,77,75,35,2.75
80,79,80,80,79,80,80,79,80,38,3.36
80,85,90,80,85,90,80,85,90,28,2.3
91,86,86,91,86,86,91,86,86,29,5.84
75,92,89,75,92,89,75,92,89,33,3.75
56,68,66,56,68,66,56,68,66,57,2.88
62,77,73,62,77,73,62,77,73,45,2.16
52,61,62,52,61,62,52,61,62,39,4.04
66,73,72,66,73,72,66,73,72,44,7.37
86,93,88,86,93,88,86,93,88,25,5.17
63,65,73,63,65,73,63,65,73,54,2.63
64,75,71,64,75,71,64,75,71,49,3.75
62,76,67,62,76,67,62,76,67,36,2.46
81,88,83,81,88,83,81,88,83,33,3
67,79,76,67,79,76,67,79,76,40,4
87,92,90,87,92,90,87,92,90,22,5
63,57,71,63,57,71,63,57,71,41,1.75
60,72,78,60,72,78,60,72,78,51,1.24
57,51,67,57,51,67,57,51,67,58,4.52
79,85,86,79,85,86,79,85,86,39,2.21
69,72,70,69,72,70,69,72,70,41,4.7
62,74,73,62,74,73,62,74,73,60,2.29
68,88,71,68,88,71,68,88,71,39,4.7
78,83,89,78,83,89,78,83,89,34,7.07
87,94,93,87,94,93,87,94,93,23,1.25
85,85,84,85,85,84,85,85,84,33,4.26
69,75,75,69,75,75,69,75,75,35,4.75
63,78,76,63,78,76,63,78,76,46,3
73,60,55,73,60,55,73,60,55,54,5
56,68,69,56,68,69,56,68,69,55,3.09
94,96,98,94,96,98,94,96,98,20,2.25
50,56,69,50,56,69,50,56,69,55,5.08
81,85,85,81,85,85,81,85,85,39,2.25
79,75,77,79,75,77,79,75,77,34,2.67
63,72,67,63,72,67,63,72,67,54,5.13
60,61,59,60,61,59,60,61,59,54,3.75
88,85,97,88,85,97,88,85,97,26,4.27
72,70,71,72,70,71,72,70,71,45,4
50,61,55,50,61,55,50,61,55,71,5
53,58,64,53,58,64,53,58,64,58,4.41
80,85,76,80,85,76,80,85,76,45,2.48
61,60,74,61,60,74,61,60,74,39,4.16
82,81,92,82,81,92,82,81,92,31,1
68,61,60,68,61,60,68,61,60,54,4.5
80,82,90,80,82,90,80,82,90,40,5.29
58,59,58,58,59,58,58,59,58,54,5.77
89,96,91,89,96,91,89,96,91,26,5.25
76,79,82,76,79,82,76,79,82,32,4.09
75,79,80,75,79,80,75,79,80,39,5.75
74,77,77,74,77,77,74,77,77,36,5
82,82,82,82,82,82,82,82,82,28,2.27
69,66,65,69,66,65,69,66,65,50,6.38
87,85,91,87,85,91,87,85,91,43,3
75,65,79,75,65,79,75,65,79,48,2.2
72,78,81,72,78,81,72,78,81,34,1
70,84,70,70,84,70,70,84,70,39,1.27
67,66,69,67,66,69,67,66,69,54,5.91
62,66,72,62,66,72,62,66,72,60,4.79
82,87,92,82,87,92,82,87,92,28,1.38
76,75,83,76,75,83,76,75,83,38,2
70,67,69,70,67,69,70,67,69,42,3
96,98,95,96,98,95,96,98,95,40,1.96
54,69,80,54,69,80,54,69,80,57,3.74
67,71,70,67,71,70,67,71,70,37,2.13
53,60,76,53,60,76,53,60,76,53,2.93
66,66,64,66,66,64,66,66,64,54,6.75
83,73,83,83,73,83,83,73,83,43,1
79,83,87,79,83,87,79,83,87,32,1.75
96,97,100,96,97,100,96,97,100,30,3.7
64,75,76,64,75,76,64,75,76,46,2.75
83,87,78,83,87,78,83,87,78,31,3.88
76,81,82,76,81,82,76,81,82,36,3
58,68,64,58,68,64,58,68,64,53,4.55
53,77,77,53,77,77,53,77,77,55,4.67
74,73,82,74,73,82,74,73,82,36,1.85
72,77,81,72,77,81,72,77,81,51,2.5
78,83,79,78,83,79,78,83,79,36,3.25
55,68,73,55,68,73,55,68,73,63,5.91
60,60,71,60,60,71,60,60,71,52,1.63
69,80,76,69,80,76,69,80,76,54,5.33
74,70,74,74,70,74,74,70,74,35,1.5
64,65,77,64,65,77,64,65,77,36,1.13
69,79,82,69,79,82,69,79,82,39,3.38
68,89,76,68,89,76,68,89,76,47,4.83
66,74,80,66,74,80,66,74,80,46,2
73,72,77,73,72,77,73,72,77,41,3.75
86,88,84,86,88,84,86,88,84,29,4
85,88,86,85,88,86,85,88,86,34,2.63
79,82,89,79,82,89,79,82,89,43,3.53
74,88,86,74,88,86,74,88,86,45,3.8
53,73,56,53,73,56,53,73,56,74,6.31
80,82,88,80,82,88,80,82,88,40,3
76,72,80,76,72,80,76,72,80,36,3
62,72,76,62,72,76,62,72,76,48,4.03
81,84,86,81,84,86,81,84,86,26,7.75
69,68,71,69,68,71,69,68,71,39,9
60,54,64,60,54,64,60,54,64,52,5
57,63,70,57,63,70,57,63,70,48,1.25
73,87,80,73,87,80,73,87,80,28,3.27
68,74,75,68,74,75,68,74,75,38,4
67,75,75,67,75,75,67,75,75,54,5.5
62,66,76,62,66,76,62,66,76,45,8
71,82,79,71,82,79,71,82,79,32,3.49
76,76,77,76,76,77,76,76,77,37,3.78
81,80,81,81,80,81,81,80,81,42,3
82,84,87,82,84,87,82,84,87,37,3.38
69,67,74,69,67,74,69,67,74,44,3.24
71,76,75,71,76,75,71,76,75,27,3
63,77,69,63,77,69,63,77,69,38,3.38
78,96,87,78,96,87,78,96,87,40,3.42
66,76,64,66,76,64,66,76,64,45,3.88
84,77,84,84,77,84,84,77,84,38,1.2
83,85,84,83,85,84,83,85,84,31,6
68,71,77,68,71,77,68,71,77,44,2.78
58,73,78,58,73,78,58,73,78,53,2
85,87,92,85,87,92,85,87,92,30,2
59,74,75,59,74,75,59,74,75,45,2.38
66,80,76,66,80,76,66,80,76,48,3
43,59,51,43,59,51,43,59,51,73,8
65,82,78,65,82,78,65,82,78,46,2.46
70,69,68,70,69,68,70,69,68,39,3
70,73,73,70,73,73,70,73,73,40,4.33
84,91,96,84,91,96,84,91,96,28,1
47,53,57,47,53,57,47,53,57,73,6.5
75,92,95,75,92,95,75,92,95,25,2.09
80,73,68,80,73,68,80,73,68,38,5.79
63,77,76,63,77,76,63,77,76,43,6
65,67,70,65,67,70,65,67,70,51,4.11
59,61,71,59,61,71,59,61,71,59,1
82,67,71,82,67,71,82,67,71,31,3.63
60,63,67,60,63,67,60,63,67,55,2
82,65,72,82,65,72,82,65,72,28,3.13
83,75,80,83,75,80,83,75,80,43,9
54,67,55,54,67,55,54,67,55,64,6.6
